datetime,amazon_hype,corona_hype,delta_hype,google_hype,netflix_hype,novartis_hype,pfizer_hype,tesla_hype,tripadvisor_hype,zoom_hype
3/25/2020,-4,-7.011227255,9.808964175,7.77478706,7.665335917,4.247927513,4.523561956,10.78381676,4.392317423,8.851749041
3/26/2020,8.857980995,9.45532722,7.982993575,9.095397023,-5.044394119,-3.459431619,4.584962501,11.32418055,2,10.9225844
3/27/2020,8.129283017,-9.766528909,6.700439718,9.231221181,9.21916852,4.523561956,5.700439718,-9.902375114,2.584962501,10.95492329
3/28/2020,-7.06608919,-12.68846888,6.375039431,6.930737338,9.299208018,5,-4.169925001,-8.330916878,2.584962501,7.686500527
3/29/2020,-7.971543554,13.90538701,7.483815777,-6.988684687,6.672425342,2.807354922,4.584962501,9.691743519,6.06608919,8.103287808
3/30/2020,6.857980995,6.820178962,8.027905997,9.011227255,7.845490051,-6.321928095,6.714245518,10.53430288,-2.584962501,10.04165915
3/31/2020,-9.596189756,-11.88149638,7.781359714,8.569855608,10.11243951,-5.321928095,9.09011242,10.11113567,3.169925001,9.776433032
4/1/2020,-5.614709844,-7.14974712,7.948367232,7.845490051,9.575539247,5.554588852,6.169925001,9.915879379,0,10.12282799
4/2/2020,10.06204614,-7.584962501,7.768184325,8.379378367,9.749869427,4.392317423,7.754887502,12.30235333,-1,9.361943774
4/3/2020,8.238404739,-11.36632221,11.74483384,9.025139562,8.888743249,4.392317423,-5.614709844,10.78708632,0,9.271463028
4/4/2020,-7.169925001,-11.47573343,10.06204614,8.463524373,6.06608919,3.906890596,4.459431619,12.50382574,0,9.319672121
4/5/2020,-2.807354922,-14.12702704,10.34540525,8.77807713,8.794415866,4.459431619,5.169925001,-13.05866825,0,7.383704292
4/6/2020,7.366322214,-11.47319838,9.381542951,8.562242424,8.527477006,6.988684687,-6.658211483,11.42311591,0,8.758223215
4/7/2020,-6.614709844,13.52086418,9.731319031,7.257387843,7.894817763,4,0,11.07414146,4.906890596,8.971543554
4/8/2020,-7.942514505,-10.73555602,7.118941073,9.063395081,9.400879436,4.906890596,4.247927513,8.857980995,3.321928095,-9.28077077
4/9/2020,6.044394119,-10.40620501,8.97441459,8.658211483,8.451211112,2.584962501,-6.918863237,11.63481105,1,9.710806434
4/10/2020,-5.426264755,-11.31458324,7.139551352,8.948367232,5.459431619,-3.169925001,-5.807354922,10.04302728,0,8.108524457
4/11/2020,11.35810171,-12.19444908,7.942514505,11.37286506,11.72366094,5.700439718,4.64385619,12.43983088,1.584962501,7.483815777
4/12/2020,8.682994584,-8.918863237,7.033423002,7.971543554,9.558420713,2.807354922,2,11.80856203,-1,8.710806434
4/13/2020,-9.620219826,-10.80009099,7.960001932,8.632995197,10.83605036,6,5.044394119,11.04439412,2.321928095,10.64655871
4/14/2020,-9.531381461,8.523561956,10.14720492,8.864186145,9.596189756,5.209453366,5.754887502,11.66533592,6.50779464,9.011227255
4/15/2020,4,-13.6128685,10.09934781,8.882643049,10.37286506,4,6.686500527,11.84979602,6.62935662,10.04575966
4/16/2020,-10.98156728,-11.28540222,8.807354922,9.257387843,9.259743264,-5.044394119,-4.169925001,9.8008999,4.321928095,9.303780748
4/17/2020,11.27554256,-11.99682653,8.503825738,5.584962501,8.204571144,1.584962501,-4.64385619,11.10263189,4.247927513,10.53332973
4/18/2020,10.47167521,-15.55377927,9.73470962,8.113742166,10.61010206,2.584962501,6.108524457,11.85720347,0,-7.159871337
4/19/2020,9.105908509,-13.29102677,9.714245518,7.022367813,10.73640193,1.584962501,-4.857980995,11.57790084,4,9.438791853
4/20/2020,-6.845490051,-9.917372079,9.328674927,8.77807713,10.2632692,7.523561956,6.409390936,-10.75405237,2.807354922,9.326429487
